13T15:37:44.829005Z  INFO adv_civ::civilization::concepts::city_construction::city_construction_systems: [CITY_CONSTRUCTION] Entering city construction phase
2026-02-13T15:37:44.829021Z  INFO adv_civ::civilization::concepts::city_construction::city_construction_systems: [CITY_CONSTRUCTION] LoadingFromSave present: false
2026-02-13T15:37:44.829026Z  INFO adv_civ::civilization::concepts::city_construction::city_construction_systems: [CITY_CONSTRUCTION] Total players: 7
2026-02-13T15:37:44.829032Z  INFO adv_civ::civilization::concepts::city_construction::city_construction_systems: [CITY_CONSTRUCTION] Marking Assyria for building
2026-02-13T15:37:44.829039Z  INFO adv_civ::civilization::concepts::city_construction::city_construction_systems: [CITY_CONSTRUCTION] Marking Iberia for building
2026-02-13T15:37:44.829045Z  INFO adv_civ::civilization::concepts::city_construction::city_construction_systems: [CITY_CONSTRUCTION] Marking Illyria for building
2026-02-13T15:37:44.829051Z  INFO adv_civ::civilization::concepts::city_construction::city_construction_systems: [CITY_CONSTRUCTION] Marking Thrace for building
2026-02-13T15:37:44.829056Z  INFO adv_civ::civilization::concepts::city_construction::city_construction_systems: [CITY_CONSTRUCTION] Marking Asia for building
2026-02-13T15:37:44.829061Z  INFO adv_civ::civilization::concepts::city_construction::city_construction_systems: [CITY_CONSTRUCTION] Marking Africa for building
2026-02-13T15:37:44.829066Z  INFO adv_civ::civilization::concepts::city_construction::city_construction_systems: [CITY_CONSTRUCTION] Marking Babylon for building
2026-02-13T15:37:44.829072Z  INFO adv_civ::civilization::concepts::city_construction::city_construction_systems: [CITY_CONSTRUCTION] Summary: 7 marked for building, 0 skipped
2026-02-13T15:37:44.969728Z  INFO adv_civ::civilization::concepts::city_construction::city_construction_systems: [CITY_CONSTRUCTION] Gate: No players with IsBuilding, transitioning to RemoveSurplusPopulation
2026-02-13T15:37:44.977773Z  INFO adv_civ::civilization::concepts::remove_surplus_population::remove_surplus_systems: [SURPL
